4
1 1 1 1
277 sawtooth
0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.15789473684 0
6 0.15789473684 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.31578947368 0

2 0.47368421050 1
-5 0.47368421050 1
-2 0.31578947368 1

9 0.31578947368 1
7 0.31578947368 1
2 0.31578947368 1
4 0.31578947368 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.15789473684 0
6 0.15789473684 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.31578947368 0

2 0.47368421050 1
4 0.47368421050 1
-2 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.15789473684 0
6 0.15789473684 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.31578947368 0

2 0.47368421050 1
-5 0.47368421050 1
-2 0.31578947368 1

9 0.31578947368 1
7 0.31578947368 1
2 0.31578947368 1
4 0.31578947368 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.15789473684 0
6 0.15789473684 1

0 0.15789473684 0
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
5 0.15789473684 1
6 0.15789473684 1
0 0.31578947368 0

2 0.47368421050 1
4 0.47368421050 1
-2 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

2 1.2631578947 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.31578947368 1
1 0.15789473684 1

2 1.4210526315 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
-1 0.15789473684 1
-3 0.31578947368 1
1 0.31578947368 1

2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.47368421050 1
9 0.15789473684 1
11 0.15789473684 1

9 0.31578947368 1
7 0.15789473684 1
6 0.47368421050 1
2 0.31578947368 1

4 0.47368421050 1
-1 0.47368421050 1
4 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

2 1.2631578947 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.31578947368 1
1 0.15789473684 1

2 1.4210526315 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
-1 0.15789473684 1
-3 0.31578947368 1
1 0.31578947368 1

2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.47368421050 1
9 0.15789473684 1
11 0.15789473684 1

9 0.31578947368 1
7 0.15789473684 1
6 0.47368421050 1
2 0.31578947368 1

4 0.47368421050 1
-1 0.47368421050 1
4 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

11 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
13 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

14 0.15789473684 1
13 0.05263157895 1
14 0.05263157895 1
13 0.05263157895 1
11 0.15789473684 1
9 0.15789473684 1
6 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

8 0.15789473684 1
1 0.15789473684 1
-3 0.15789473684 1
1 0.15789473684 1
9 0.15789473684 1
1 0.15789473684 1
-3 0.15789473684 1
1 0.15789473684 1

11 0.15789473684 1
9 0.05263157895 1
11 0.05263157895 1
9 0.05263157895 1
7 0.15789473684 1
6 0.15789473684 1
4 0.15789473684 1
2 0.15789473684 1
4 0.15789473684 1
7 0.15789473684 1

6 0.15789473684 1
2 0.15789473684 1
-3 0.15789473684 1
2 0.15789473684 1
6 0.47368421050 1
2 0.15789473684 1

4 0.15789473684 1
-1 0.15789473684 1
-5 0.15789473684 1
-1 0.15789473684 1
4 0.31578947368 1
7 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

0 0.15789473684 0
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
9 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

11 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1
13 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

14 0.15789473684 1
13 0.05263157895 1
14 0.05263157895 1
13 0.05263157895 1
11 0.15789473684 1
9 0.15789473684 1
6 0.15789473684 1
2 0.15789473684 1
1 0.15789473684 1
2 0.15789473684 1

8 0.15789473684 1
1 0.15789473684 1
-3 0.15789473684 1
1 0.15789473684 1
9 0.15789473684 1
1 0.15789473684 1
-3 0.15789473684 1
1 0.15789473684 1

11 0.15789473684 1
9 0.05263157895 1
11 0.05263157895 1
9 0.05263157895 1
7 0.15789473684 1
6 0.15789473684 1
4 0.15789473684 1
2 0.15789473684 1
4 0.15789473684 1
7 0.15789473684 1

6 0.15789473684 1
2 0.15789473684 1
-3 0.15789473684 1
2 0.15789473684 1
6 0.47368421050 1
2 0.15789473684 1

4 0.15789473684 1
-1 0.15789473684 1
-5 0.15789473684 1
-1 0.15789473684 1
4 0.31578947368 1
7 0.31578947368 1

6 0.47368421050 1
7 0.07894736842 1
6 0.07894736842 1
4 0.6315789474 1

2 1.4210526315 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 1
-2 0.15789473684 1
-4 0.31578947368 1
-5 0.15789473684 1


81 sawtooth
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.31578947368 0

-17 0.47368421050 1
-17 0.15789473684 1
-16 0.31578947368 1
-14 0.31578947368 1

-2 1.2631578947 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.31578947368 0

-10 0.47368421050 1
-9 0.47368421050 1
-7 0.31578947368 1

-7 0.6315789474 1
-9 0.6315789474 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.31578947368 0

-17 0.47368421050 1
-17 0.15789473684 1
-16 0.31578947368 1
-14 0.31578947368 1

-2 1.2631578947 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1

0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.15789473684 0
2 0.15789473684 1
0 0.31578947368 0

-10 0.47368421050 1
-9 0.47368421050 1
-14 0.31578947368 1

-7 0.6315789474 1
-9 0.6315789474 1

0 40.421052631 0


314 sawtooth
-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-17 0.31578947368 0
-22 0.31578947368 1
-17 0.31578947368 1
-22 0.15789473684 1
-26 0.15789473684 1

-17 0.31578947368 1
-21 0.31578947368 1
-17 0.31578947368 1
-21 0.31578947368 1

-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-17 1.2631578947 1

-15 1.2631578947 1

-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-13 0.31578947368 1
-18 0.31578947368 1
-13 0.31578947368 1
-18 0.15789473684 1
-22 0.15789473684 1

-17 0.31578947368 0
-22 0.31578947368 1
-17 0.31578947368 1
-22 0.15789473684 1
-26 0.15789473684 1

-17 0.31578947368 1
